[2026-04-10 13:59:09.019] [START] Connected to xAI realtime | input_rate=16000 | output_rate=16000
[2026-04-10 13:59:09.020] [INFO] Output WAV file: audio_out_2026-04-10_13-59-07.wav
[2026-04-10 13:59:09.020] [INFO] Log file: bridge_log_2026-04-10_13-59-07.txt
[2026-04-10 13:59:09.020] [CONFIG] Bridge config | input_rate=16000 | output_rate=16000 | samples_per_packet=160 | packet_audio_size=320 | output_packet_samples=480 | output_packet_audio_size=960
[2026-04-10 13:59:09.021] [START] UDP server started
[2026-04-10 13:59:09.021] [INFO] UDP port: 9999
[2026-04-10 13:59:09.021] [INFO] Jitter buffer: 25 packets (~250 ms)
[2026-04-10 13:59:09.304] [XAI] Session updated
[2026-04-10 13:59:22.963] [INIT] First packet received -> seq=0
[2026-04-10 13:59:24.823] [LOSS] [LOSS] seq 150 lost -> filled with silence
[2026-04-10 13:59:39.526] [LOSS] [LOSS] seq 251 lost -> filled with silence
[2026-04-10 13:59:39.530] [LOSS] [LOSS] seq 252 lost -> filled with silence
[2026-04-10 13:59:39.531] [LOSS] [LOSS] seq 253 lost -> filled with silence
[2026-04-10 13:59:39.533] [LOSS] [LOSS] seq 254 lost -> filled with silence
[2026-04-10 13:59:39.535] [LOSS] [LOSS] seq 255 lost -> filled with silence
[2026-04-10 13:59:39.537] [LOSS] [LOSS] seq 256 lost -> filled with silence
[2026-04-10 13:59:39.540] [LOSS] [LOSS] seq 257 lost -> filled with silence
[2026-04-10 13:59:39.542] [LOSS] [LOSS] seq 258 lost -> filled with silence
[2026-04-10 13:59:39.581] [LOSS] [LOSS] seq 259 lost -> filled with silence
[2026-04-10 13:59:39.894] [LOSS] [LOSS] seq 260 lost -> filled with silence
[2026-04-10 13:59:39.894] [STAT] [STAT] seq=261 | buf=50 | rec=300 | lost=11 (3.67%)
[2026-04-10 13:59:39.897] [LOSS] [LOSS] seq 261 lost -> filled with silence
[2026-04-10 13:59:39.900] [LOSS] [LOSS] seq 262 lost -> filled with silence
