[2026-04-10 16:00:44.738] [START] Connected to xAI realtime | input_rate=16000 | output_rate=16000
[2026-04-10 16:00:44.738] [INFO] Output WAV file: audio_out_2026-04-10_16-00-42.wav
[2026-04-10 16:00:44.738] [INFO] Log file: bridge_log_2026-04-10_16-00-42.txt
[2026-04-10 16:00:44.738] [CONFIG] Bridge config | input_rate=16000 | output_rate=16000 | samples_per_packet=160 | packet_audio_size=320
[2026-04-10 16:00:44.739] [START] UDP server started
[2026-04-10 16:00:44.739] [INFO] UDP port: 9999
[2026-04-10 16:00:44.739] [INFO] Jitter buffer: 25 packets (~250 ms)
[2026-04-10 16:00:45.333] [XAI] Session updated
[2026-04-10 16:00:52.314] [INIT] First packet received -> seq=0
[2026-04-10 16:00:56.113] [STAT] [STAT] seq=300 | buf=0 | rec=300 | lost=0 (0.00%)
[2026-04-10 16:00:59.585] [STAT] [STAT] seq=600 | buf=0 | rec=600 | lost=0 (0.00%)
[2026-04-10 16:01:03.021] [STAT] [STAT] seq=900 | buf=0 | rec=900 | lost=0 (0.00%)
[2026-04-10 16:01:13.444] [LOSS] [LOSS] seq 1077 lost -> filled with silence
[2026-04-10 16:01:13.510] [LOSS] [LOSS] seq 1078 lost -> filled with silence
[2026-04-10 16:01:13.612] [LOSS] [LOSS] seq 1079 lost -> filled with silence
[2026-04-10 16:01:13.622] [LOSS] [LOSS] seq 1080 lost -> filled with silence
[2026-04-10 16:01:13.676] [LOSS] [LOSS] seq 1081 lost -> filled with silence
[2026-04-10 16:01:14.113] [LOSS] [LOSS] seq 1082 lost -> filled with silence
[2026-04-10 16:01:14.124] [LOSS] [LOSS] seq 1083 lost -> filled with silence
[2026-04-10 16:01:14.126] [LOSS] [LOSS] seq 1084 lost -> filled with silence
[2026-04-10 16:01:14.126] [LOSS] [LOSS] seq 1085 lost -> filled with silence
[2026-04-10 16:01:14.128] [LOSS] [LOSS] seq 1086 lost -> filled with silence
[2026-04-10 16:01:14.130] [LOSS] [LOSS] seq 1087 lost -> filled with silence
